type,id,amenity,operator,payment:coins,ref,vending,id,F.hoverCaption,F.allowPopup,F.icon,F.layers,geometry.type,geometry.coordinates
Feature,node/566562251,vending_machine,Norwich City Council,yes,GFR RD,parking_tickets,node/566562251,On-road Parking Bay,false,parkingMeter,here,Point,1.3002911;52.6283804
Feature,node/596362294,vending_machine,Norwich City Council,,,parking_tickets,node/596362294,On-road Parking Bay,false,parkingMeter,here,Point,1.2895191;52.6292951
Feature,node/608458948,vending_machine,,,,parking_tickets,node/608458948,On-road Parking Bay,false,parkingMeter,here,Point,1.2929941;52.6328419
Feature,node/608458952,vending_machine,,,,parking_tickets,node/608458952,On-road Parking Bay,false,parkingMeter,here,Point,1.2938379;52.6329847
Feature,node/608458979,vending_machine,,,,parking_tickets,node/608458979,On-road Parking Bay,false,parkingMeter,here,Point,1.2963518;52.6333482
Feature,node/665125583,vending_machine,Norwich City Council,yes,PWR 2,parking_tickets,node/665125583,On-road Parking Bay,false,parkingMeter,here,Point,1.3017676;52.6292296
Feature,node/665125584,vending_machine,Norwich City Council,yes,PWL1,parking_tickets,node/665125584,On-road Parking Bay,false,parkingMeter,here,Point,1.3007132;52.6294246
Feature,node/1137615582,vending_machine,Norwich City Council,,,parking_tickets,node/1137615582,On-road Parking Bay,false,parkingMeter,here,Point,1.2874912;52.6336379
Feature,node/1314007610,vending_machine,Norwich City Council,,,parking_tickets,node/1314007610,On-road Parking Bay,false,parkingMeter,here,Point,1.3030466;52.6295626
Feature,node/1314007612,vending_machine,Norwich City Council,,,parking_tickets,node/1314007612,On-road Parking Bay,false,parkingMeter,here,Point,1.3026346;52.6293252
Feature,node/1314069654,vending_machine,,,,parking_tickets,node/1314069654,On-road Parking Bay,false,parkingMeter,here,Point,1.2990689;52.6305978
Feature,node/1314077011,vending_machine,,,,parking_tickets,node/1314077011,On-road Parking Bay,false,parkingMeter,here,Point,1.2903127;52.6308376
Feature,node/1314077012,vending_machine,,,,parking_tickets,node/1314077012,On-road Parking Bay,false,parkingMeter,here,Point,1.2877379;52.6313207
Feature,node/1314085368,vending_machine,,,,parking_tickets,node/1314085368,On-road Parking Bay,false,parkingMeter,here,Point,1.2972338;52.6309951
Feature,node/1314094026,vending_machine,,,,parking_tickets,node/1314094026,On-road Parking Bay,false,parkingMeter,here,Point,1.288723;52.6293613
Feature,node/1314131578,vending_machine,,,,parking_tickets,node/1314131578,On-road Parking Bay,false,parkingMeter,here,Point,1.2975872;52.6240958
Feature,node/1314131588,vending_machine,,,,parking_tickets,node/1314131588,On-road Parking Bay,false,parkingMeter,here,Point,1.2993572;52.6224159
Feature,node/1314131600,vending_machine,,,,parking_tickets,node/1314131600,On-road Parking Bay,false,parkingMeter,here,Point,1.2983002;52.6233004
Feature,node/1314131603,vending_machine,,,,parking_tickets,node/1314131603,On-road Parking Bay,false,parkingMeter,here,Point,1.2988431;52.6229464
